id_venda|cod_cliente|Des_Cliente|cod_produto|nom_produto|cod_marca|des_marca|Ano_venda|Mes_venda|Dia_venda|dtc_venda|qtd_venda|val_venda|num_nota
148|1|João Do Pulo|1|TV|3|DELL|2014|9|11|11/09/2014|2|25.15|71.0
188|1|João Do Pulo|1|TV|3|DELL|2014|8|22|22/08/2014|3|25.15|401.0
451|1|João Do Pulo|1|TV|3|DELL|2015|3|8|08/03/2015|2|25.15|333.0
456|1|João Do Pulo|1|TV|3|DELL|2014|5|16|16/05/2014|3|25.15|194.0
551|1|João Do Pulo|1|TV|3|DELL|2014|12|24|24/12/2014|3|25.15|1300.0
918|1|João Do Pulo|1|TV|3|DELL|2014|5|19|19/05/2014|3|25.15|1063.0
1098|1|João Do Pulo|1|TV|3|DELL|2015|9|17|17/09/2015|2|25.15|1479.0
1220|1|João Do Pulo|1|TV|3|DELL|2015|11|17|17/11/2015|3|25.15|534.0
1339|1|João Do Pulo|1|TV|3|DELL|2014|1|1|01/01/2014|3|25.15|1373.0
1469|1|João Do Pulo|1|TV|3|DELL|2014|1|19|19/01/2014|3|25.15|964.0
1541|1|João Do Pulo|1|TV|3|DELL|2014|7|1|01/07/2014|3|25.15|1327.0
1579|1|João Do Pulo|1|TV|3|DELL|2015|12|17|17/12/2015|2|25.15|1048.0
1646|1|João Do Pulo|1|TV|3|DELL|2015|4|19|19/04/2015|2|25.15|1178.0
1864|1|João Do Pulo|1|TV|3|DELL|2014|7|4|04/07/2014|1|25.15|190.0
1879|1|João Do Pulo|1|TV|3|DELL|2015|11|28|28/11/2015|1|25.15|593.0
1969|1|João Do Pulo|1|TV|3|DELL|2015|2|1|01/02/2015|1|25.15|895.0
2034|1|João Do Pulo|1|TV|3|DELL|2014|5|5|05/05/2014|1|25.15|794.0
2091|1|João Do Pulo|1|TV|3|DELL|2015|11|22|22/11/2015|2|25.15|962.0
2197|1|João Do Pulo|1|TV|3|DELL|2015|5|7|07/05/2015|3|25.15|63.0
2275|1|João Do Pulo|1|TV|3|DELL|2015|11|5|05/11/2015|2|25.15|783.0
2357|1|João Do Pulo|1|TV|3|DELL|2014|6|19|19/06/2014|2|25.15|253.0
2392|1|João Do Pulo|1|TV|3|DELL|2015|5|11|11/05/2015|1|25.15|375.0
2400|1|João Do Pulo|1|TV|3|DELL|2014|4|17|17/04/2014|2|25.15|566.0
2431|1|João Do Pulo|1|TV|3|DELL|2015|11|19|19/11/2015|2|25.15|458.0
2641|1|João Do Pulo|1|TV|3|DELL|2015|10|12|12/10/2015|1|25.15|266.0
2690|1|João Do Pulo|1|TV|3|DELL|2014|9|26|26/09/2014|3|25.15|635.0
2924|1|João Do Pulo|1|TV|3|DELL|2014|6|7|07/06/2014|2|25.15|1482.0
3424|1|João Do Pulo|1|TV|3|DELL|2015|5|11|11/05/2015|1|25.15|1202.0
3463|1|João Do Pulo|1|TV|3|DELL|2015|3|6|06/03/2015|3|25.15|431.0
3564|1|João Do Pulo|1|TV|3|DELL|2015|10|10|10/10/2015|3|25.15|458.0
3654|1|João Do Pulo|1|TV|3|DELL|2015|9|4|04/09/2015|1|25.15|1284.0
3770|1|João Do Pulo|1|TV|3|DELL|2014|9|4|04/09/2014|1|25.15|790.0
3773|1|João Do Pulo|1|TV|3|DELL|2014|3|25|25/03/2014|2|25.15|126.0
3843|1|João Do Pulo|1|TV|3|DELL|2014|1|16|16/01/2014|2|25.15|97.0
3925|1|João Do Pulo|1|TV|3|DELL|2015|12|10|10/12/2015|1|25.15|401.0
